Symbol	Short	Long
GHGL-JUN	GHGL-JUN	GHGL-JUN
GHGL-MAYB	GHGL-MAYB	GHGL-MAYB
GHNI	Ghandhara Ind.	Ghandhara Industries Limited
GHNI-JUL	GHNI-JUL	Ghandhara Industries Limited
GHNI-JUN	GHNI-JUN	Ghandhara Industries Limited
GHNI-MAY	GHNI-MAY	Ghandhara Industries Limited
GHNL	Ghand Nissan	Ghandhara Nissan Limited
GLAXO	GlaxoSmithKlineXD	GlaxoSmithKline Pakistan Limited
GLPL	Gillette Pak	Gillette Pakistan Limited
GRYL	Grays Leasing	Grays Leasing Limited
GSKCH	Glaxo Healthcar	GlaxoSmithKline Consumer Healthcare
GTECH	G3 Technologies	G3 Technologies Limited
GTYR	Ghandhara Tyre	Ghandhara Tyre & Rubber Company Limited
GVGL	Ghani Value GlasXD	Ghani Value Glass Limited
GWLC	Gharibwal Cement	Gharibwal Cement Limited
HABSM	Habib Sugar	Habib Sugar Mills Limited
HASCOL	Hascol Petrol	Hascol Petroleum Limited
HBL	Habib Bank	Habib Bank Limited
HBL-JUL	HBL-JUL	Habib Bank Ltd
HBL-JUNB	HBL-JUNB	HBL-JUNB
HBL-MAYB	HBL-MAYB	HBL-MAYB
HCAR	Honda Atlas Cars	Honda Atlas Cars (Pakistan) Limited
HIFA	HBL Invest Fund	HBL Investment Fund
HINO	Hinopak Motor	Hinopak Motors Limited
HINOON	Highnoon (Lab)	Highnoon Laboratories Limited
HIRAT	Hira Textile	Hira Textile Mills Limited
HMB	Habib Metropol.	Habib Metropolitan Bank Limited
HMB-JUL	HMB-JUL	Habib Metropolitan Bank Limited
HMB-JUN	HMB-JUN	Habib Metropolitan Bank Limited
HMB-MAY	HMB-MAY	Habib Metropolitan Bank Limited
HRPL	Habib Rice Prod	Habib Rice Product Limited.
HTL	HI-Tech Lub.	Hi-Tech Lubricants Limited
HUBC	Hub Power Co.	The Hub Power Company Limited
HUBC-JUL	HUBC-JUL	Hub Power Company Limited
HUBC-JUN	HUBC-JUN	Hub Power Company Limited
HUBC-MAY	HUBC-MAY	Hub Power Company Limited
HUBCSC4	Hub Power(SUKUK	Hub Power(SUKUK4)
HUMNL	Hum Network	Hum Network Limited
HUMNL-JUL	HUMNL-JUL	Hum Network Limited
HUMNL-JUNB	HUMNL-JUNB	HUMNL-JUNB
HUMNL-MAYB	HUMNL-MAYB	HUMNL-MAYB
IBLHL	IBL HealthCare	IBL HealthCare Limited
ICI	ICI Pakistan	ICI Pakistan Limited
ICIBL	Invest Bank	Invest Capital Investment Bank Limited
ICL	Ittehad Chem.	Ittehad Chemicals Limted
IDSM	Ideal Spinning	Ideal Spinning Mills Limited
IDYM	Indus Dyeing	Indus Dyeing & Manufacturing Co. Limited
IGIHL	IGI Holdings	IGI Holdings Limited
ILP	Interloop Ltd.	Interloop Limited
IMAGE	Image Pakistan	Image Pakistan Limited
INDU	Indus Motor Co	Indus Motor Company Limited
INIL	Int. Ind.Ltd.	International Industries Limited
INIL-JUL	INIL-JUL	International Industries Limited
INIL-JUN	INIL-JUN	International Industries Limited
INIL-MAY	INIL-MAY	International Industries Limited
ISL	Inter.Steel Ltd	International Steels Limited
ISL-JUL	ISL-JUL	Inter.Steel Ltd.
ISL-JUN	ISL-JUN	Inter.Steel Ltd.
ISL-MAY	ISL-MAY	International Steels Limited
ITTEFAQ	Ittefaq Iron Ind	Ittefaq Iron Industries Limited
JDMT	Janana D Mal	Janana De Malucho Textile Mills Limited
JLICL	Jubile Life Ins	Jubilee Life Insurance Company Limited
JSCL	Jah.Sidd. Co.	Jahangir Siddiqui & Co. Ltd.
JSCLPSA	JahangirSidd(Pref)	Jahangir Sidd(Pref)
JSMFETF	JS Momentum	JS Momentum Factor Exchange Traded Fund
JSML	Jauharabad Sug	Jauharabad Sugar Mills Limited
JUBS	Jubilee Spinning	Jubilee Spinning & Weaving Mills Ltd.
JVDC	Javedan Corp.	Javedan Corporation Limited
KAPCO	Kot Addu Power	Kot Addu Power Company Limited
KAPCO-JUL	KAPCO-JUL	Kot Addu Power
KAPCO-JUN	KAPCO-JUN	Kot Addu Power
KAPCO-MAY	KAPCO-MAY	Kot Addu Power
KASBM	KASB Mod	KASB Modaraba
KCL	Karam Ceramics	Karam Ceramics Limited
KEL	K-Electric Ltd.	K-Electric Limited
KEL-JUL	KEL-JUL	K-Electric Limited
KEL-JUN	KEL-JUN	K-Electric Limited
KEL-MAY	KEL-MAY	K-Electric Limited
KOHC	Kohat Cement	Kohat Cement Company Limited
KOHC-JUL	KOHC-JUL	Kohat Cement Company Limited
KOHC-JUN	KOHC-JUN	Kohat Cement Company Limited
KOHC-MAY	KOHC-MAY	Kohat Cement Company Limited
KOHE	Kohinoor Energy	Kohinoor Energy Limited
KOIL	Kohinoor Ind.	Kohinoor Industries Limited
KOSM	Kohinoor Spining	Kohinoor Spinning Mills Limited
KOSM-JUL	KOSM-JUL	KOSM-JUL
KOSM-JUN	KOSM-JUN	KOSM-JUN
KOSM-MAY	KOSM-MAY	KOSM-MAY
KPUS	Khairpur Sugar	Khairpur Sugar Mills Limited
KTML	Kohinoor Textile	Kohinoor Textile Mills Limited
LOADS	Loads Limited	Loads Limited
LOADS-JUL	LOADS-JUL	Loads Limited
LOADS-JUN	LOADS-JUN	Loads Limited
LOADS-MAY	LOADS-MAY	Loads Limited
LOTCHEM	Lotte Chemical	Lotte Chemical Pakistan Limited
LOTCHEM-JUL	LOTCHEM-JUL	Lotte Pakistan PTA Ltd.
LOTCHEM-JUN	LOTCHEM-JUN	Lotte Chemical Pakistan Ltd.
LOTCHEM-MAY	LOTCHEM-MAY	Lotte Chemical Pakistan Ltd.
LPGL	Leiner Pak Gelat	Leiner Pak Gelatine Limited
LPL	Lalpir Power	Lalpir Power Limited
LUCK	Lucky Cement	Lucky Cement Limited
LUCK-JUL	LUCK-JUL	Lucky Cement Limited
LUCK-JUN	LUCK-JUN	Lucky Cement Limited
LUCK-MAY	LUCK-MAY	Lucky Cement Limited
MACFL	MACPAC Films	MACPAC Films Limited
MARI	Mari Petroleum	Mari Petroleum Company Limited
MCB	MCB Bank Ltd	MCB Bank Limited
MCB-JUL	MCB-JUL	MCB Bank Limited
MCB-JUNB	MCB-JUNB	MCB-JUNB
MCB-MAYB	MCB-MAYB	MCB Bank Limited
MDTL	Media Times Ltd	Media Times Limited
MEBL	Meezan Bank	Meezan Bank Limited
MEBL-JUL	MEBL-JUL	Meezan Bank Limited
MEBL-JUNB	MEBL-JUNB	MEBL-JUNB
MEBL-MAYB	MEBL-MAYB	MEBL-MAYB
MERIT	Merit Packaging	Merit Packaging Limited
MFFL	MithchellsFruit	Mitchells Fruit Farms Limited
MFL	Matco Foods Ltd	Matco Foods Limited
MLCF	Maple Leaf	Maple Leaf Cement Factory Limited
MLCF-JUL	MLCF-JUL	Maple Leaf Cement Factory Limited
MLCF-JUN	MLCF-JUN	Maple Leaf Cement Factory Limited
MLCF-MAY	MLCF-MAY	Maple Leaf Cement Factory Limited
MODAM	Mod.Al-Mali	Modaraba Al-Mali
MQTM	Maqbool Textile	Maqbool Textile Mills Limited
MRNS	Mehran Sugar	Mehran Sugar Mills Limited
MTL	Millat TractorsXB	Millat Tractors Limited
MTL-JUL	MTL-JUL	MTL-JUL
MTL-JUNB	MTL-JUNB	MTL-JUNB
MTL-MAYB	MTL-MAYB	MTL-MAYB
MUGHAL	Mughal Iron	Mughal Iron & Steel Industries Limited
MUGHAL-JUL	MUGHAL-JUL	Mughal Iron & Steel Industries Limited
MUGHAL-JUN	MUGHAL-JUN	Mughal Iron & Steel Industries Limited
MUGHAL-MAY	MUGHAL-MAY	Mughal Iron & Steel Industries Limited
MZNPETF	Meezan PakistanXD	Meezan Pakistan ETF
MZNPETF-JUL	MZNPETF-JUL	MZNPETF-JUL
MZNPETF-JUN	MZNPETF-JUN	MZNPETF-JUN
MZNPETF-MAY	MZNPETF-MAY	MZNPETF-MAY
NAGC	Nagina Cotton	Nagina Cotton Mills Limited
NATF	National Foods	National Foods Limited
NBP	National BankXD	National Bank of Pakistan
NBP-JUL	NBP-JUL	National Bank Of Pakistan Ltd
NBP-JUN	NBP-JUN	National Bank Of Pakistan
NBP-MAYB	NBP-MAYB	NBP-MAYB
NBPGETF-JUL	NBPGETF-JUL	NBPGETF-JUL
NBPGETF-JUN	NBPGETF-JUN	NBPGETF-JUN
NBPGETF-MAY	NBPGETF-MAY	NBPGETF-MAY
NCL	Nishat (Chun.)	Nishat Chunian Limited
NCL-JUL	NCL-JUL	Nishat (Chunian) Limited.
NCL-JUN	NCL-JUN	Nishat (Chunian) Limited.
NCL-MAY	NCL-MAY	Nishat (Chunian) Limited.
NCPL	Nishat ChunPow	Nishat Chunian Power Limited
NESTLE	Nestle Pakistan	Nestle Pakistan Limited
NETSOL	Netsol Tech.	NetSol Technologies Limited
NETSOL-JUL	NETSOL-JUL	Netsol Technologie
NETSOL-JUN	NETSOL-JUN	Netsol Technologie
NETSOL-MAY	NETSOL-MAY	Netsol Technologie
NEXT	Next Capital	Next Capital Limited
NICL	Nimir Ind.Chem.	Nimir Industrial Chemicals Limited
NITGETF-JUL	NITGETF-JUL	NITGETF-JUL
NITGETF-JUN	NITGETF-JUN	NITGETF-JUN
NITGETF-MAY	NITGETF-MAY	NITGETF-MAY
NML	Nishat Mills Ltd	Nishat Mills Limited
NML-JUL	NML-JUL	Nishat Mills Ltd.
NML-JUN	NML-JUN	Nishat Mills Ltd.
NML-MAY	NML-MAY	Nishat Mills Ltd.
NPL	Nishat Power	Nishat Power Limited
NRL	National Refinery	National Refinery Limited
NRL-JUL	NRL-JUL	National Refinery Ltd.
NRL-JUN	NRL-JUN	National Refinery Ltd.
NRL-MAY	NRL-MAY	National Refinery Ltd.
NRSL	Nimir Resins	Nimir Resins Limited
OBOY	Oilboy EnergyXR	Oilboy Engergy Limited
OCTOPUS	Octopus Digital	Octopus Digital Limited
OGDC	Oil & Gas Dev.XD	Oil & Gas Development Company Limited
OGDC-JUL	OGDC-JUL	Oil & Gas Dev.Co
OGDC-JUNB	OGDC-JUNB	OGDC-JUNB
OGDC-MAYB	OGDC-MAYB	OGDC-MAYB
OLPL	OLP FinancialXD	OLP Financial Services Pakistan Limited
OLPM	OLP Modaraba	OLP Modaraba
PABC	Pakistan AluminXD	Pakistan Aluminium Beverage Cans Limited
PABC-JUL	PABC-JUL	PABC-JUL
