Symbol	Short	Long
TRG-JUN	TRG-JUN	TRG Pakistan
TRG-MAY	TRG-MAY	TRG Pakistan
TSML	Tandlianwala Sugar	Tandlianwala Sugar Mills Limited
TSPL	Tri-Star Power	Tri-Star Power Limited
UBDL	United Brands	United Brands Limited
UBL	United Bank	United Bank Limited
UBL-JUL	UBL-JUL	United Bank Ltd.
UBL-JUNB	UBL-JUNB	UBL-JUNB
UBL-MAYB	UBL-MAYB	United Bank Ltd.
UBLPETF-JUL	UBLPETF-JUL	UBLPETF-JUL
UBLPETF-JUN	UBLPETF-JUN	UBLPETF-JUN
UBLPETF-MAY	UBLPETF-MAY	UBLPETF-MAY
UNIC	United InsuranceXD	The United Insurance Company
UNITY	Unity Foods Ltd	Unity Foods Limited
UNITY-JUL	UNITY-JUL	Unity Foods Limited
UNITY-JUN	UNITY-JUN	Unity Foods Limited
UNITY-MAY	UNITY-MAY	Unity Foods Limited
WAHN	Wah-Noble	Wah Noble Chemicals Limited
WAVES	Waves Singer	Waves Singer Pakistan Limited
WAVES-JUL	WAVES-JUL	Waves Singer Pakistan Limited
WAVES-JUN	WAVES-JUN	WAVES-JUN
WAVES-MAY	WAVES-MAY	WAVES-MAY
WTL	WorldCall Telecom	Worldcall Telecom Limited
WTL-JUL	WTL-JUL	WorldCall Comm. Ltd
WTL-JUN	WTL-JUN	WorldCall Comm. Ltd
WTL-MAY	WTL-MAY	WorldCall Telecom
YOUW	Yousuf Weaving	Yousaf Weaving Mills Limited
YOUW-JUL	YOUW-JUL	YOUW-JUL
YOUW-JUN	YOUW-JUN	YOUW-JUN
YOUW-MAY	YOUW-MAY	YOUW-MAY
ZAHID	ZahidJee Tex.	Zahidjee Textile Mills Limited
ZTL	Zephyr Textile	Zephyr Textiles Limited
